date_extraction,temperature,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,precipitation,description,ville_id
2021-02-23,4.60,2.30,7.30,65.00,1005.70,22.40,259.00,0.25,"Rain, Partially cloudy",4
2021-02-24,7.90,4.20,11.60,52.30,1013.60,22.60,220.90,0.00,Partially cloudy,4
2021-02-25,7.30,4.60,10.00,38.20,1017.40,29.30,293.00,0.00,Clear,4
2021-02-26,4.30,1.00,7.30,40.90,1029.60,13.60,253.60,0.00,Partially cloudy,4
2021-02-27,6.70,3.50,10.10,80.80,1021.80,16.80,224.80,10.34,"Rain, Partially cloudy",4
2021-02-28,6.00,5.30,6.90,74.70,1022.50,15.90,70.70,5.85,"Rain, Partially cloudy",4
2021-03-01,5.80,1.80,8.80,70.60,1006.40,39.40,302.30,5.00,"Rain, Partially cloudy",4
2021-03-02,-1.90,-5.80,0.50,31.30,1019.60,37.40,294.70,0.00,Clear,4
2021-03-03,5.50,0.00,10.80,37.50,1012.40,19.60,253.00,0.00,Partially cloudy,4
2021-03-04,4.00,-1.80,6.80,44.10,1010.10,34.40,301.00,0.00,Partially cloudy,4
2021-03-05,-0.70,-4.70,2.60,31.30,1011.80,33.50,294.90,0.00,Clear,4
2021-03-06,0.10,-1.50,1.20,42.20,1018.00,30.60,300.50,0.00,Partially cloudy,4
2021-03-07,1.00,-1.60,4.70,39.80,1026.00,20.50,307.80,0.00,Partially cloudy,4
2021-03-08,1.80,-3.00,6.40,34.10,1029.60,19.00,298.60,0.00,Clear,4
2021-03-09,10.80,5.40,17.20,29.00,1026.70,22.10,273.60,0.00,Partially cloudy,4
2021-03-10,8.20,4.80,12.00,57.00,1032.20,18.20,110.20,0.00,Partially cloudy,4
2021-03-11,13.80,7.00,21.40,59.20,1023.10,17.90,183.50,0.00,Partially cloudy,4
2021-03-12,16.60,12.60,19.80,31.80,1017.40,24.90,279.60,0.00,Partially cloudy,4
2021-03-13,6.20,0.80,11.70,24.90,1022.00,35.40,295.00,0.00,Clear,4
2021-03-14,6.70,0.80,10.90,28.60,1015.90,50.00,295.00,0.00,Partially cloudy,4
2021-03-15,-0.20,-4.20,3.50,23.10,1025.40,46.20,317.60,0.00,Clear,4
2021-03-16,0.50,-1.50,2.60,39.90,1025.40,15.30,71.30,0.05,"Rain, Partially cloudy",4
2021-03-17,4.70,1.20,8.00,71.60,1021.50,14.00,59.00,0.00,Overcast,4
2021-03-18,7.10,6.40,7.80,85.40,1013.90,27.90,42.30,14.62,"Rain, Overcast",4
2021-03-19,3.40,-0.30,6.30,37.00,1020.80,34.80,12.20,2.41,"Rain, Partially cloudy",4
2021-03-20,7.10,0.70,14.70,31.30,1033.10,12.10,327.30,0.00,Clear,4
2021-03-21,10.50,4.90,16.70,34.30,1033.30,13.70,72.20,0.00,Clear,4
2021-03-22,9.60,5.10,15.50,55.00,1029.20,15.10,77.50,0.00,Clear,4
2021-03-23,10.80,5.70,17.20,68.40,1025.40,13.60,63.00,0.00,Partially cloudy,4
2021-03-24,10.00,8.00,12.20,82.70,1021.10,14.90,65.50,33.05,"Rain, Partially cloudy",4
2021-03-25,13.60,9.60,19.20,85.40,1017.10,15.60,298.60,0.39,"Rain, Partially cloudy",4
2021-03-26,17.30,11.20,27.50,65.20,1008.20,43.10,224.20,3.71,"Rain, Partially cloudy",4
2021-03-27,14.10,10.50,19.80,50.30,1018.90,23.20,237.00,0.00,Partially cloudy,4
2021-03-28,12.30,9.30,15.30,82.30,1008.20,23.70,105.80,17.54,"Rain, Partially cloudy",4
2021-03-29,9.90,7.40,12.90,36.80,1014.10,33.20,252.60,0.00,Partially cloudy,4
2021-03-30,10.30,5.40,15.30,45.60,1027.50,24.90,125.40,0.00,Clear,4
2021-03-31,13.80,9.90,18.80,78.30,1018.20,25.80,134.30,7.51,"Rain, Partially cloudy",4
2021-04-01,8.10,4.40,14.20,62.50,1010.30,36.80,275.40,2.00,"Rain, Overcast",4
2021-04-02,1.60,-1.80,3.90,39.60,1021.10,31.00,284.60,0.00,Partially cloudy,4
2021-04-03,5.60,0.10,11.80,27.60,1025.60,17.40,281.40,0.00,Clear,4
2021-04-04,11.90,7.70,17.90,33.00,1018.30,17.20,304.50,0.00,Partially cloudy,4
2021-04-05,14.20,8.90,19.80,27.20,1013.80,33.80,290.70,0.00,Clear,4
2021-04-06,14.40,8.50,20.70,22.60,1013.90,24.90,311.10,0.00,Clear,4
2021-04-07,14.90,10.80,21.70,36.80,1015.30,12.00,39.20,0.00,Partially cloudy,4
2021-04-08,14.30,9.60,20.30,52.20,1018.90,15.90,123.40,0.00,Clear,4
2021-04-09,10.90,9.30,14.00,75.00,1021.00,16.90,119.30,0.23,"Rain, Partially cloudy",4
2021-04-10,14.30,10.40,19.20,74.10,1014.90,14.20,108.50,0.18,"Rain, Partially cloudy",4
2021-04-11,12.00,8.90,13.00,93.00,1004.00,21.50,29.70,12.06,"Rain, Partially cloudy",4
2021-04-12,8.60,7.40,10.50,80.10,1008.40,23.50,23.40,10.81,"Rain, Overcast",4
2021-04-13,12.00,6.70,17.90,61.50,1016.40,14.90,8.00,3.26,"Rain, Partially cloudy",4
2021-04-14,15.00,9.20,21.60,59.70,1015.60,24.30,234.20,0.00,Partially cloudy,4
2021-04-15,11.50,8.50,15.00,84.00,1006.90,20.50,29.70,19.73,"Rain, Overcast",4
2021-04-16,8.00,5.10,10.80,68.10,1004.10,25.40,285.50,0.99,"Rain, Partially cloudy",4
2021-04-17,9.60,6.30,12.60,58.20,1007.80,16.30,309.80,0.00,Overcast,4
2021-04-18,12.90,9.30,16.30,48.60,1009.90,12.50,266.70,0.00,Partially cloudy,4
2021-04-19,14.70,11.30,17.50,46.30,1010.40,16.40,163.40,0.00,Partially cloudy,4
2021-04-20,17.20,11.30,24.00,46.20,1012.00,27.30,217.00,0.00,Clear,4
2021-04-21,13.10,4.70,20.00,52.40,1005.90,35.20,239.70,3.28,"Rain, Partially cloudy",4
2021-04-22,5.70,2.60,8.70,36.60,1010.40,31.60,272.70,0.00,Partially cloudy,4
2021-04-23,11.10,4.30,17.70,30.10,1014.60,27.30,292.50,0.00,Partially cloudy,4
2021-04-24,16.00,11.10,21.60,30.60,1014.40,17.50,237.60,0.00,Partially cloudy,4
2021-04-25,13.40,9.70,17.10,63.60,1007.10,18.40,353.00,14.06,"Rain, Partially cloudy",4
2021-04-26,11.00,5.40,15.70,35.20,1015.30,30.40,316.40,0.00,Clear,4
2021-04-27,12.60,8.60,16.80,32.50,1017.30,15.10,126.80,0.00,Partially cloudy,4
2021-04-28,18.10,11.30,28.70,56.30,1010.30,20.90,53.30,0.78,"Rain, Partially cloudy",4
2021-04-29,19.70,15.70,23.50,70.70,1004.80,21.70,234.70,0.40,"Rain, Partially cloudy",4
2021-04-30,17.50,10.70,21.90,47.20,998.10,34.00,293.40,0.65,"Rain, Partially cloudy",4
2021-05-01,12.00,6.40,18.10,36.40,1010.40,35.30,304.40,0.00,Partially cloudy,4
2021-05-02,19.80,14.00,27.80,34.60,1007.50,25.60,236.60,0.00,Partially cloudy,4
2021-05-03,16.00,12.10,18.20,65.50,1010.20,17.40,59.70,4.89,"Rain, Partially cloudy",4
2021-05-04,15.30,11.30,21.40,80.20,1007.00,18.90,79.20,14.61,"Rain, Partially cloudy",4
2021-05-05,12.90,11.70,16.40,86.40,1006.60,25.80,39.70,7.70,"Rain, Overcast",4
2021-05-06,14.50,10.30,19.00,44.00,1012.60,28.80,316.70,0.00,Partially cloudy,4
2021-05-07,13.90,10.00,17.70,43.10,1012.50,14.60,73.80,0.00,Partially cloudy,4
2021-05-08,10.90,10.10,12.00,66.50,1011.40,16.20,96.10,1.72,"Rain, Overcast",4
2021-05-09,11.20,8.20,17.30,68.00,1015.80,20.50,260.70,9.86,"Rain, Partially cloudy",4
2021-05-10,11.90,8.60,15.30,70.60,1011.50,18.00,345.90,2.22,"Rain, Partially cloudy",4
2021-05-11,14.30,10.40,18.80,42.80,1016.50,23.50,297.30,0.00,Partially cloudy,4
2021-05-12,14.20,8.50,19.50,36.80,1020.50,32.10,323.90,0.00,Partially cloudy,4
2021-05-13,16.40,11.00,21.50,32.60,1022.30,16.30,321.70,0.00,Clear,4
2021-05-14,18.40,11.60,24.30,31.90,1022.40,16.10,223.30,0.00,Clear,4
2021-05-15,19.70,13.40,25.40,30.30,1023.10,23.10,185.70,0.00,Partially cloudy,4
2021-05-16,19.40,16.70,24.10,38.30,1023.90,21.20,241.90,0.18,"Rain, Partially cloudy",4
2021-05-17,19.50,13.80,25.40,43.80,1024.90,16.20,219.30,0.00,Partially cloudy,4
2021-05-18,22.30,15.90,27.70,36.20,1025.00,16.50,256.40,0.00,Clear,4
2021-05-19,24.20,18.90,29.80,36.40,1025.20,19.90,332.90,0.00,Clear,4
2021-05-20,19.70,16.40,23.80,37.50,1030.90,14.30,138.90,0.00,Partially cloudy,4
2021-05-21,20.20,15.10,25.60,45.50,1031.40,20.50,158.50,0.00,Partially cloudy,4
2021-05-22,25.30,18.70,31.60,47.20,1021.50,21.20,304.30,0.00,Partially cloudy,4
2021-05-23,26.80,22.90,31.20,49.70,1013.60,26.00,314.60,0.00,Partially cloudy,4
2021-05-24,17.40,15.30,20.90,46.80,1024.40,18.90,107.30,0.00,Partially cloudy,4
2021-05-25,18.70,14.80,23.00,55.70,1023.40,22.80,196.60,0.00,Partially cloudy,4
2021-05-26,23.40,18.50,30.00,68.60,1015.70,22.80,212.70,0.73,"Rain, Partially cloudy",4
2021-05-27,23.20,19.40,27.90,54.90,1013.60,21.50,311.50,1.63,"Rain, Partially cloudy",4
2021-05-28,15.80,10.70,20.10,55.50,1016.30,34.40,58.10,22.86,"Rain, Partially cloudy",4
2021-05-29,9.70,8.70,10.50,83.90,1016.10,33.50,44.80,19.40,"Rain, Overcast",4
2021-05-30,9.80,8.50,11.00,86.50,1020.70,22.80,30.70,23.49,"Rain, Overcast",4
2021-05-31,14.50,9.70,21.30,69.70,1022.10,16.80,322.50,0.82,"Rain, Partially cloudy",4
2021-06-01,19.20,13.60,24.60,58.60,1023.80,13.80,257.20,0.00,Partially cloudy,4
2021-06-02,19.90,16.70,23.70,59.40,1023.10,18.10,176.10,0.00,Partially cloudy,4
2021-06-03,19.00,15.90,23.20,83.90,1017.30,10.30,75.00,8.55,"Rain, Partially cloudy",4
2021-06-04,21.50,18.70,25.50,83.50,1012.60,14.20,227.80,8.23,"Rain, Partially cloudy",4
2021-06-05,25.80,18.80,32.50,61.10,1013.00,21.40,240.90,0.00,Clear,4
2021-06-06,29.10,24.40,33.50,48.40,1016.20,18.00,224.00,0.00,Partially cloudy,4
2021-06-07,28.00,24.60,33.10,63.30,1017.80,21.70,195.80,1.27,"Rain, Partially cloudy",4
2021-06-08,26.60,22.60,32.00,73.40,1016.80,15.00,200.40,18.95,"Rain, Partially cloudy",4
2021-06-09,27.00,22.70,32.20,69.70,1014.80,12.50,311.20,2.32,"Rain, Partially cloudy",4
2021-06-10,24.70,19.50,27.70,49.50,1016.00,22.80,77.50,0.00,Partially cloudy,4
2021-06-11,18.80,17.00,20.40,62.70,1015.30,13.60,68.20,0.00,Partially cloudy,4
2021-06-12,19.00,17.50,20.80,70.50,1011.30,17.70,65.90,0.00,Partially cloudy,4
2021-06-13,19.90,16.70,24.00,66.50,1012.90,14.30,192.70,0.18,"Rain, Partially cloudy",4
2021-06-14,20.40,18.60,22.90,77.90,1010.20,13.90,129.70,4.32,"Rain, Partially cloudy",4
2021-06-15,22.60,19.60,26.80,65.10,1007.20,17.80,297.10,0.45,"Rain, Partially cloudy",4
2021-06-16,21.20,17.40,24.70,44.70,1010.50,18.90,317.50,0.00,Clear,4
2021-06-17,21.00,14.90,25.00,32.20,1014.80,13.40,313.40,0.00,Clear,4
2021-06-18,23.90,17.40,28.90,39.40,1014.70,21.60,228.80,0.00,Partially cloudy,4
2021-06-19,24.60,19.20,31.50,62.60,1008.40,19.70,250.40,2.97,"Rain, Partially cloudy",4
2021-06-20,25.20,19.50,29.90,62.40,1008.90,18.70,250.70,0.04,"Rain, Partially cloudy",4
2021-06-21,26.90,23.80,29.70,70.20,1005.30,22.80,177.50,0.00,Partially cloudy,4
2021-06-22,21.30,16.40,26.30,75.60,1006.40,21.00,295.20,5.54,"Rain, Partially cloudy",4
2021-06-23,19.00,13.50,24.10,49.10,1020.70,16.60,315.60,0.00,Partially cloudy,4
2021-06-24,20.50,16.20,24.70,53.20,1027.50,19.90,124.50,0.00,Partially cloudy,4
2021-06-25,21.30,17.70,26.70,64.50,1025.40,20.70,90.80,0.00,Partially cloudy,4
2021-06-26,24.70,20.70,28.00,76.10,1023.10,23.40,176.90,0.90,"Rain, Partially cloudy",4
2021-06-27,27.20,23.50,31.60,69.90,1021.20,25.20,199.70,0.00,Partially cloudy,4
2021-06-28,29.20,24.60,33.80,62.90,1021.90,23.40,216.50,0.00,Partially cloudy,4
2021-06-29,30.90,26.40,35.30,56.70,1021.20,18.50,231.80,0.00,Clear,4
2021-06-30,31.20,24.00,36.60,55.60,1015.10,27.70,249.40,15.84,"Rain, Partially cloudy",4
2021-07-01,24.70,23.00,28.70,80.70,1010.70,22.40,296.80,20.75,"Rain, Partially cloudy",4
2021-07-02,22.50,18.20,25.00,83.00,1006.80,22.80,105.70,20.08,"Rain, Partially cloudy",4
2021-07-03,17.40,16.30,18.90,83.10,1008.90,23.40,47.70,7.71,"Rain, Overcast",4
2021-07-04,20.80,16.30,25.70,70.40,1012.00,16.60,97.30,0.00,Partially cloudy,4
2021-07-05,24.20,19.30,28.00,70.40,1016.50,22.80,133.10,0.00,Partially cloudy,4
2021-07-06,27.00,22.50,33.90,65.30,1014.60,23.80,238.70,12.04,"Rain, Partially cloudy",4
2021-07-07,28.10,22.60,33.30,67.50,1013.70,12.30,247.70,0.05,"Rain, Partially cloudy",4
2021-07-08,25.50,23.20,29.30,76.50,1014.50,19.50,64.90,41.20,"Rain, Partially cloudy",4
2021-07-09,25.10,22.30,30.00,78.40,1009.50,30.10,357.60,47.13,"Rain, Partially cloudy",4
2021-07-10,23.20,20.80,27.40,80.00,1014.30,13.00,30.80,6.51,"Rain, Partially cloudy",4
2021-07-11,23.50,21.90,26.30,81.80,1018.50,22.60,127.90,0.18,"Rain, Partially cloudy",4
2021-07-12,25.30,22.60,29.30,83.50,1019.00,20.60,55.90,28.47,"Rain, Partially cloudy",4
2021-07-13,22.00,20.90,22.70,87.10,1023.10,15.60,64.50,0.12,"Rain, Overcast",4
2021-07-14,25.00,21.30,31.00,78.20,1020.60,14.40,17.60,0.21,"Rain, Partially cloudy",4
2021-07-15,27.70,23.70,31.50,65.00,1018.10,13.00,157.20,0.00,Partially cloudy,4
2021-07-16,29.70,26.50,33.10,60.10,1015.50,14.50,244.50,0.00,Partially cloudy,4
2021-07-17,27.50,23.50,32.40,71.10,1016.20,21.30,138.10,15.38,"Rain, Partially cloudy",4
2021-07-18,25.20,23.10,28.70,75.50,1014.30,23.40,233.70,7.33,"Rain, Partially cloudy",4
2021-07-19,24.30,22.20,27.40,67.40,1014.30,13.80,328.70,0.25,"Rain, Partially cloudy",4
2021-07-20,26.80,23.20,30.30,62.70,1012.40,10.90,277.80,0.00,Partially cloudy,4
2021-07-21,25.20,22.10,27.70,64.10,1011.60,17.30,349.70,1.93,"Rain, Partially cloudy",4
2021-07-22,23.80,19.70,27.20,54.20,1017.50,18.60,328.30,0.00,Partially cloudy,4
2021-07-23,23.60,20.00,27.90,50.40,1019.50,17.20,342.20,0.18,"Rain, Partially cloudy",4
2021-07-24,24.10,19.70,28.60,56.80,1018.60,21.00,133.40,0.00,Partially cloudy,4
2021-07-25,24.70,19.80,28.40,73.10,1013.00,16.60,208.00,11.71,"Rain, Partially cloudy",4
2021-07-26,27.30,23.10,31.30,61.30,1012.00,21.60,327.10,20.23,"Rain, Partially cloudy",4
2021-07-27,27.70,23.50,31.90,49.70,1013.40,17.30,265.70,0.00,Partially cloudy,4
2021-07-28,24.10,21.10,27.60,66.30,1015.10,20.80,23.50,3.53,"Rain, Partially cloudy",4
2021-07-29,23.30,21.80,25.40,78.20,1013.30,24.70,176.20,11.13,"Rain, Partially cloudy",4
2021-07-30,24.30,21.60,28.40,58.60,1008.70,26.70,303.80,0.00,Partially cloudy,4
2021-07-31,21.10,16.40,24.70,48.80,1014.80,16.80,311.20,0.00,Clear,4
2021-08-01,22.00,19.40,24.40,66.90,1012.30,18.40,181.70,1.69,"Rain, Partially cloudy",4
2021-08-02,22.30,17.40,26.50,60.30,1013.70,16.90,318.90,0.00,Partially cloudy,4
2021-08-03,22.40,18.70,26.20,51.80,1019.30,8.00,15.40,0.00,Partially cloudy,4
2021-08-04,22.40,20.50,24.30,63.70,1019.70,16.90,47.10,0.00,Partially cloudy,4
2021-08-05,23.20,20.70,27.30,67.20,1018.60,15.00,26.10,0.00,Partially cloudy,4
2021-08-06,26.00,21.10,31.10,60.30,1020.00,13.80,195.50,0.00,Clear,4
2021-08-07,26.30,23.20,30.00,57.30,1018.00,21.00,200.10,0.00,Partially cloudy,4
2021-08-08,22.20,19.70,25.40,75.00,1018.30,21.30,55.70,5.73,"Rain, Partially cloudy",4
2021-08-09,23.60,21.10,26.10,78.30,1020.00,14.90,40.10,0.55,"Rain, Partially cloudy",4
2021-08-10,25.10,22.50,28.70,78.20,1019.70,13.00,160.10,11.38,"Rain, Partially cloudy",4
2021-08-11,26.90,23.30,32.10,76.70,1016.20,15.80,231.20,14.42,"Rain, Partially cloudy",4
2021-08-12,28.60,23.80,34.40,64.80,1015.20,19.30,239.80,0.00,Partially cloudy,4
2021-08-13,30.40,26.10,34.70,55.40,1016.30,15.80,265.60,0.00,Partially cloudy,4
2021-08-14,29.00,26.30,31.40,56.10,1017.30,24.90,312.60,0.00,Partially cloudy,4
2021-08-15,24.70,21.60,28.40,48.20,1021.70,20.70,27.10,0.00,Partially cloudy,4
2021-08-16,23.90,21.20,26.70,59.10,1022.40,11.40,72.80,0.00,Partially cloudy,4
2021-08-17,24.70,23.20,26.90,67.50,1022.40,21.70,144.50,0.00,Partially cloudy,4
2021-08-18,25.80,23.80,28.50,79.30,1021.70,17.60,115.90,0.00,Partially cloudy,4
2021-08-19,27.10,24.70,30.30,73.00,1013.30,29.50,235.70,4.97,"Rain, Partially cloudy",4
2021-08-20,26.00,24.30,27.80,68.40,1012.00,12.80,322.00,0.52,"Rain, Partially cloudy",4
2021-08-21,25.50,23.10,27.60,77.80,1012.60,11.40,69.00,42.60,"Rain, Partially cloudy",4
2021-08-22,23.20,21.70,24.10,90.70,1009.60,20.20,303.70,104.04,"Rain, Overcast",4
2021-08-23,24.60,22.20,28.90,81.90,1007.50,22.30,233.80,25.18,"Rain, Partially cloudy",4
2021-08-24,27.60,23.90,31.60,60.70,1013.10,19.90,301.30,0.00,Clear,4
2021-08-25,28.30,23.20,32.60,57.50,1018.40,10.80,295.00,0.00,Partially cloudy,4
2021-08-26,29.30,26.00,33.20,61.20,1018.80,15.40,219.70,0.45,Rain,4
2021-08-27,28.30,25.50,33.30,69.30,1018.30,12.10,291.30,17.55,"Rain, Partially cloudy",4
2021-08-28,23.70,20.40,26.90,72.20,1023.10,25.60,68.70,0.00,Partially cloudy,4
2021-08-29,22.10,19.80,23.90,76.50,1022.10,13.80,59.60,0.00,Overcast,4
2021-08-30,26.10,23.00,29.60,76.70,1012.40,17.40,214.80,0.00,Partially cloudy,4
2021-08-31,26.60,23.70,28.90,60.60,1008.60,17.70,305.00,0.00,Partially cloudy,4
2021-09-01,22.30,18.40,26.10,79.10,1006.80,39.30,50.00,165.40,"Rain, Overcast",4
2021-09-02,20.40,16.90,24.90,61.20,1008.90,32.90,343.40,18.15,"Rain, Partially cloudy",4
2021-09-03,19.70,15.50,23.00,58.30,1016.50,13.50,323.80,0.00,Partially cloudy,4
2021-09-04,21.30,17.20,25.80,59.60,1015.90,9.90,302.40,0.00,Partially cloudy,4
2021-09-05,21.90,19.50,23.70,74.10,1011.00,16.90,233.40,0.66,"Rain, Partially cloudy",4
2021-09-06,24.20,21.50,28.00,63.10,1009.20,26.20,269.60,0.00,Partially cloudy,4
2021-09-07,22.80,18.80,26.80,57.80,1013.90,12.50,300.70,0.00,Clear,4
2021-09-08,24.70,21.90,28.30,69.70,1010.70,32.70,182.70,0.00,Partially cloudy,4
2021-09-09,21.80,20.70,24.60,82.20,1008.10,25.00,301.80,6.47,"Rain, Partially cloudy",4
2021-09-10,20.80,18.00,23.60,56.80,1012.00,23.30,308.90,0.00,Partially cloudy,4
2021-09-11,21.00,16.50,24.80,52.50,1020.70,24.10,233.80,0.00,Partially cloudy,4
2021-09-12,23.80,19.60,28.10,62.70,1018.30,24.40,236.00,0.00,Partially cloudy,4
2021-09-13,26.00,21.10,28.70,61.50,1016.10,21.30,284.30,2.86,"Rain, Partially cloudy",4
2021-09-14,23.00,20.70,26.10,74.10,1017.50,17.40,126.20,0.00,Partially cloudy,4
2021-09-15,25.80,22.80,29.90,73.70,1014.50,27.30,194.10,0.00,Partially cloudy,4
2021-09-16,23.30,22.00,24.80,71.50,1021.40,24.70,42.60,0.00,Partially cloudy,4
2021-09-17,22.60,21.10,23.60,82.40,1022.90,24.70,45.40,0.00,Overcast,4
2021-09-18,24.90,21.00,29.30,68.90,1017.40,18.90,347.10,0.00,Partially cloudy,4
2021-09-19,21.80,18.40,24.70,55.40,1020.70,24.10,6.50,0.00,Clear,4
2021-09-20,20.40,17.30,23.80,64.70,1026.50,19.90,111.20,0.00,Partially cloudy,4
2021-09-21,21.10,17.40,24.00,70.10,1026.80,18.10,92.90,1.61,"Rain, Partially cloudy",4
2021-09-22,23.90,22.10,25.80,82.10,1019.00,27.40,153.50,0.18,"Rain, Partially cloudy",4
2021-09-23,24.20,19.00,26.80,79.20,1013.70,35.90,153.00,27.27,"Rain, Overcast",4
2021-09-24,18.80,14.60,22.60,65.20,1016.80,20.70,287.00,18.81,"Rain, Partially cloudy",4
2021-09-25,19.60,15.20,24.20,59.10,1015.80,11.60,5.20,0.00,Clear,4
